date,state,district,type,beds
1/1/2022,Sabah,Kunak,hospital_non_moh,0
1/1/2022,Sabah,Kunak,special_medical_institution,0
1/1/2022,Sabah,Lahad Datu,hospital_moh,268
1/1/2022,Sabah,Lahad Datu,hospital_non_moh,0
1/1/2022,Sabah,Lahad Datu,special_medical_institution,0
1/1/2022,Sabah,Nabawan,hospital_moh,0
1/1/2022,Sabah,Nabawan,hospital_non_moh,0
1/1/2022,Sabah,Nabawan,special_medical_institution,0
1/1/2022,Sabah,Papar,hospital_moh,77
1/1/2022,Sabah,Papar,hospital_non_moh,0
1/1/2022,Sabah,Papar,special_medical_institution,0
1/1/2022,Sabah,Penampang,hospital_moh,0
1/1/2022,Sabah,Penampang,hospital_non_moh,0
1/1/2022,Sabah,Penampang,special_medical_institution,0
1/1/2022,Sabah,Pitas,hospital_moh,72
1/1/2022,Sabah,Pitas,hospital_non_moh,0
1/1/2022,Sabah,Pitas,special_medical_institution,0
1/1/2022,Sabah,Putatan,hospital_moh,0
1/1/2022,Sabah,Putatan,hospital_non_moh,0
1/1/2022,Sabah,Putatan,special_medical_institution,0
1/1/2022,Sabah,Ranau,hospital_moh,110
1/1/2022,Sabah,Ranau,hospital_non_moh,0
1/1/2022,Sabah,Ranau,special_medical_institution,0
1/1/2022,Sabah,Sandakan,hospital_moh,400
1/1/2022,Sabah,Sandakan,hospital_non_moh,0
1/1/2022,Sabah,Sandakan,special_medical_institution,0
1/1/2022,Sabah,Semporna,hospital_moh,70
1/1/2022,Sabah,Semporna,hospital_non_moh,0
1/1/2022,Sabah,Semporna,special_medical_institution,0
1/1/2022,Sabah,Sipitang,hospital_moh,93
1/1/2022,Sabah,Sipitang,hospital_non_moh,0
1/1/2022,Sabah,Sipitang,special_medical_institution,0
1/1/2022,Sabah,Tambunan,hospital_moh,49
1/1/2022,Sabah,Tambunan,hospital_non_moh,0
1/1/2022,Sabah,Tambunan,special_medical_institution,0
1/1/2022,Sabah,Tawau,hospital_moh,431
1/1/2022,Sabah,Tawau,hospital_non_moh,0
1/1/2022,Sabah,Tawau,special_medical_institution,0
1/1/2022,Sabah,Telupid,hospital_moh,0
1/1/2022,Sabah,Telupid,hospital_non_moh,0
1/1/2022,Sabah,Telupid,special_medical_institution,0
1/1/2022,Sabah,Tenom,hospital_moh,70
1/1/2022,Sabah,Tenom,hospital_non_moh,0
1/1/2022,Sabah,Tenom,special_medical_institution,0
1/1/2022,Sabah,Tongad,hospital_moh,0
1/1/2022,Sabah,Tongad,hospital_non_moh,0
1/1/2022,Sabah,Tongad,special_medical_institution,0
1/1/2022,Sabah,Tuaran,hospital_moh,82
1/1/2022,Sabah,Tuaran,hospital_non_moh,0
1/1/2022,Sabah,Tuaran,special_medical_institution,0
1/1/2022,Sarawak,Asajaya,hospital_moh,0
1/1/2022,Sarawak,Asajaya,hospital_non_moh,0
1/1/2022,Sarawak,Asajaya,special_medical_institution,0
1/1/2022,Sarawak,Bau,hospital_moh,68
1/1/2022,Sarawak,Bau,hospital_non_moh,0
1/1/2022,Sarawak,Bau,special_medical_institution,0
1/1/2022,Sarawak,Belaga,hospital_moh,0
1/1/2022,Sarawak,Belaga,hospital_non_moh,0
1/1/2022,Sarawak,Belaga,special_medical_institution,0
1/1/2022,Sarawak,Beluru,hospital_moh,0
1/1/2022,Sarawak,Beluru,hospital_non_moh,0
1/1/2022,Sarawak,Beluru,special_medical_institution,0
1/1/2022,Sarawak,Betong,hospital_moh,48
1/1/2022,Sarawak,Betong,hospital_non_moh,0
1/1/2022,Sarawak,Betong,special_medical_institution,0
1/1/2022,Sarawak,Bintulu,hospital_moh,302
1/1/2022,Sarawak,Bintulu,hospital_non_moh,0
1/1/2022,Sarawak,Bintulu,special_medical_institution,0
1/1/2022,Sarawak,Bukit Mabong,hospital_moh,0
1/1/2022,Sarawak,Bukit Mabong,hospital_non_moh,0
1/1/2022,Sarawak,Bukit Mabong,special_medical_institution,0
1/1/2022,Sarawak,Dalat,hospital_moh,8
1/1/2022,Sarawak,Dalat,hospital_non_moh,0
1/1/2022,Sarawak,Dalat,special_medical_institution,0
1/1/2022,Sarawak,Daro,hospital_moh,46
1/1/2022,Sarawak,Daro,hospital_non_moh,0
1/1/2022,Sarawak,Daro,special_medical_institution,0
1/1/2022,Sarawak,Julau,hospital_moh,0
1/1/2022,Sarawak,Julau,hospital_non_moh,0
1/1/2022,Sarawak,Julau,special_medical_institution,0
1/1/2022,Sarawak,Kabong,hospital_moh,0
1/1/2022,Sarawak,Kabong,hospital_non_moh,0
1/1/2022,Sarawak,Kabong,special_medical_institution,0
1/1/2022,Sarawak,Kanowit,hospital_moh,100
1/1/2022,Sarawak,Kanowit,hospital_non_moh,0
1/1/2022,Sarawak,Kanowit,special_medical_institution,0
1/1/2022,Sarawak,Kapit,hospital_moh,134
1/1/2022,Sarawak,Kapit,hospital_non_moh,0
1/1/2022,Sarawak,Kapit,special_medical_institution,0
1/1/2022,Sarawak,Kuching,hospital_moh,1074
1/1/2022,Sarawak,Kuching,hospital_non_moh,0
1/1/2022,Sarawak,Kuching,special_medical_institution,338
1/1/2022,Sarawak,Lawas,hospital_moh,46
1/1/2022,Sarawak,Lawas,hospital_non_moh,0
1/1/2022,Sarawak,Lawas,special_medical_institution,0
1/1/2022,Sarawak,Limbang,hospital_moh,100
1/1/2022,Sarawak,Limbang,hospital_non_moh,0
1/1/2022,Sarawak,Limbang,special_medical_institution,0
1/1/2022,Sarawak,Lubok Antu,hospital_moh,0
1/1/2022,Sarawak,Lubok Antu,hospital_non_moh,0
1/1/2022,Sarawak,Lubok Antu,special_medical_institution,0
1/1/2022,Sarawak,Lundu,hospital_moh,46
1/1/2022,Sarawak,Lundu,hospital_non_moh,0
1/1/2022,Sarawak,Lundu,special_medical_institution,0
1/1/2022,Sarawak,Marudi,hospital_moh,54
1/1/2022,Sarawak,Marudi,hospital_non_moh,0
