state,district,date,sex,age,population
Johor,Johor Bahru,1/1/2022,female,0-4,1.8
Johor,Johor Bahru,1/1/2022,female,0-4,18.5
Johor,Johor Bahru,1/1/2022,female,0-4,5.4
Johor,Johor Bahru,1/1/2022,female,0-4,0.6
Johor,Johor Bahru,1/1/2022,female,0-4,0.5
Johor,Johor Bahru,1/1/2022,female,5-9,73.8
Johor,Johor Bahru,1/1/2022,female,5-9,39.4
Johor,Johor Bahru,1/1/2022,female,5-9,1.4
Johor,Johor Bahru,1/1/2022,female,5-9,25.7
Johor,Johor Bahru,1/1/2022,female,5-9,6.4
Johor,Johor Bahru,1/1/2022,female,5-9,0.4
Johor,Johor Bahru,1/1/2022,female,5-9,0.5
Johor,Johor Bahru,1/1/2022,female,10-14,71.7
Johor,Johor Bahru,1/1/2022,female,10-14,38
Johor,Johor Bahru,1/1/2022,female,10-14,1.6
Johor,Johor Bahru,1/1/2022,female,10-14,24.6
Johor,Johor Bahru,1/1/2022,female,10-14,6.8
Johor,Johor Bahru,1/1/2022,female,10-14,0.4
Johor,Johor Bahru,1/1/2022,female,10-14,0.4
Johor,Johor Bahru,1/1/2022,female,15-19,65
Johor,Johor Bahru,1/1/2022,female,15-19,32.9
Johor,Johor Bahru,1/1/2022,female,15-19,1.6
Johor,Johor Bahru,1/1/2022,female,15-19,22.6
Johor,Johor Bahru,1/1/2022,female,15-19,6
Johor,Johor Bahru,1/1/2022,female,15-19,0.6
Johor,Johor Bahru,1/1/2022,female,15-19,1.3
Johor,Johor Bahru,1/1/2022,female,20-24,71.4
Johor,Johor Bahru,1/1/2022,female,20-24,33.7
Johor,Johor Bahru,1/1/2022,female,20-24,1.6
Johor,Johor Bahru,1/1/2022,female,20-24,24.4
Johor,Johor Bahru,1/1/2022,female,20-24,5.9
Johor,Johor Bahru,1/1/2022,female,20-24,0.8
Johor,Johor Bahru,1/1/2022,female,20-24,5
Johor,Johor Bahru,1/1/2022,female,25-29,64.9
Johor,Johor Bahru,1/1/2022,female,25-29,30.1
Johor,Johor Bahru,1/1/2022,female,25-29,1.1
Johor,Johor Bahru,1/1/2022,female,25-29,23.5
Johor,Johor Bahru,1/1/2022,female,25-29,5.8
Johor,Johor Bahru,1/1/2022,female,25-29,0.5
Johor,Johor Bahru,1/1/2022,female,25-29,4
Johor,Johor Bahru,1/1/2022,female,30-34,61.6
Johor,Johor Bahru,1/1/2022,female,30-34,29.8
Johor,Johor Bahru,1/1/2022,female,30-34,0.9
Johor,Johor Bahru,1/1/2022,female,30-34,22.3
Johor,Johor Bahru,1/1/2022,female,30-34,5.1
Johor,Johor Bahru,1/1/2022,female,30-34,0.3
Johor,Johor Bahru,1/1/2022,female,30-34,3.2
Johor,Johor Bahru,1/1/2022,female,35-39,60.1
Johor,Johor Bahru,1/1/2022,female,35-39,29.6
Johor,Johor Bahru,1/1/2022,female,35-39,1.5
Johor,Johor Bahru,1/1/2022,female,35-39,21.5
Johor,Johor Bahru,1/1/2022,female,35-39,5.1
Johor,Johor Bahru,1/1/2022,female,35-39,0.1
Johor,Johor Bahru,1/1/2022,female,35-39,2.3
Johor,Johor Bahru,1/1/2022,female,40-44,53.5
Johor,Johor Bahru,1/1/2022,female,40-44,24.6
Johor,Johor Bahru,1/1/2022,female,40-44,1
Johor,Johor Bahru,1/1/2022,female,40-44,20.4
Johor,Johor Bahru,1/1/2022,female,40-44,5.5
Johor,Johor Bahru,1/1/2022,female,40-44,0.2
Johor,Johor Bahru,1/1/2022,female,40-44,1.8
Johor,Johor Bahru,1/1/2022,female,45-49,46.5
Johor,Johor Bahru,1/1/2022,female,45-49,20.1
Johor,Johor Bahru,1/1/2022,female,45-49,0.6
Johor,Johor Bahru,1/1/2022,female,45-49,19.6
Johor,Johor Bahru,1/1/2022,female,45-49,4.6
Johor,Johor Bahru,1/1/2022,female,45-49,0.2
Johor,Johor Bahru,1/1/2022,female,45-49,1.4
Johor,Johor Bahru,1/1/2022,female,50-54,44.5
Johor,Johor Bahru,1/1/2022,female,50-54,19.4
Johor,Johor Bahru,1/1/2022,female,50-54,0.6
Johor,Johor Bahru,1/1/2022,female,50-54,19.1
Johor,Johor Bahru,1/1/2022,female,50-54,4.1
Johor,Johor Bahru,1/1/2022,female,50-54,0.2
Johor,Johor Bahru,1/1/2022,female,50-54,1.1
Johor,Johor Bahru,1/1/2022,female,55-59,39
Johor,Johor Bahru,1/1/2022,female,55-59,17.7
Johor,Johor Bahru,1/1/2022,female,55-59,0.4
Johor,Johor Bahru,1/1/2022,female,55-59,16.7
Johor,Johor Bahru,1/1/2022,female,55-59,3.3
Johor,Johor Bahru,1/1/2022,female,55-59,0.2
Johor,Johor Bahru,1/1/2022,female,55-59,0.8
Johor,Johor Bahru,1/1/2022,female,60-64,34.1
Johor,Johor Bahru,1/1/2022,female,60-64,15.1
Johor,Johor Bahru,1/1/2022,female,60-64,0.3
Johor,Johor Bahru,1/1/2022,female,60-64,15.1
Johor,Johor Bahru,1/1/2022,female,60-64,3
Johor,Johor Bahru,1/1/2022,female,60-64,0.1
Johor,Johor Bahru,1/1/2022,female,60-64,0.6
Johor,Johor Bahru,1/1/2022,female,65-69,24.5
Johor,Johor Bahru,1/1/2022,female,65-69,10.6
Johor,Johor Bahru,1/1/2022,female,65-69,0.2
Johor,Johor Bahru,1/1/2022,female,65-69,9.7
Johor,Johor Bahru,1/1/2022,female,65-69,2.3
Johor,Johor Bahru,1/1/2022,female,65-69,0.1
Johor,Johor Bahru,1/1/2022,female,65-69,1.6
Johor,Johor Bahru,1/1/2022,female,70-74,15.2
Johor,Johor Bahru,1/1/2022,female,70-74,6.9
Johor,Johor Bahru,1/1/2022,female,70-74,0.2
Johor,Johor Bahru,1/1/2022,female,70-74,5.6
Johor,Johor Bahru,1/1/2022,female,70-74,1.4
Johor,Johor Bahru,1/1/2022,female,70-74,0.1
Johor,Johor Bahru,1/1/2022,female,70-74,1
Johor,Johor Bahru,1/1/2022,female,75-79,9.4
Johor,Johor Bahru,1/1/2022,female,75-79,4.1
Johor,Johor Bahru,1/1/2022,female,75-79,0.1
Johor,Johor Bahru,1/1/2022,female,75-79,3.8
Johor,Johor Bahru,1/1/2022,female,75-79,0.8
Johor,Johor Bahru,1/1/2022,female,75-79,0.1
Johor,Johor Bahru,1/1/2022,female,75-79,0.5
Johor,Johor Bahru,1/1/2022,female,80-84,5.6
Johor,Johor Bahru,1/1/2022,female,80-84,2.5
Johor,Johor Bahru,1/1/2022,female,80-84,0.1
Johor,Johor Bahru,1/1/2022,female,80-84,2.1
Johor,Johor Bahru,1/1/2022,female,80-84,0.4
Johor,Johor Bahru,1/1/2022,female,80-84,0
Johor,Johor Bahru,1/1/2022,female,80-84,0.5
Johor,Johor Bahru,1/1/2022,female,85+,4
Johor,Johor Bahru,1/1/2022,female,85+,2
Johor,Johor Bahru,1/1/2022,female,85+,0.2
Johor,Johor Bahru,1/1/2022,female,85+,1
Johor,Johor Bahru,1/1/2022,female,85+,0.3
Johor,Johor Bahru,1/1/2022,female,85+,0
Johor,Johor Bahru,1/1/2022,female,85+,0.5
Johor,Johor Bahru,1/1/2022,male,0-4,68.3
Johor,Johor Bahru,1/1/2022,male,0-4,43
Johor,Johor Bahru,1/1/2022,male,0-4,1.8
Johor,Johor Bahru,1/1/2022,male,0-4,17.4
Johor,Johor Bahru,1/1/2022,male,0-4,5
Johor,Johor Bahru,1/1/2022,male,0-4,0.7
Johor,Johor Bahru,1/1/2022,male,0-4,0.4
Johor,Johor Bahru,1/1/2022,male,5-9,77.6
Johor,Johor Bahru,1/1/2022,male,5-9,41.6
Johor,Johor Bahru,1/1/2022,male,5-9,1.5
Johor,Johor Bahru,1/1/2022,male,5-9,26.9
Johor,Johor Bahru,1/1/2022,male,5-9,6.7
Johor,Johor Bahru,1/1/2022,male,5-9,0.3
Johor,Johor Bahru,1/1/2022,male,5-9,0.6
Johor,Johor Bahru,1/1/2022,male,10-14,76.9
Johor,Johor Bahru,1/1/2022,male,10-14,40.7
Johor,Johor Bahru,1/1/2022,male,10-14,1.6
Johor,Johor Bahru,1/1/2022,male,10-14,26.8
Johor,Johor Bahru,1/1/2022,male,10-14,7.1
Johor,Johor Bahru,1/1/2022,male,10-14,0.4
Johor,Johor Bahru,1/1/2022,male,10-14,0.4
Johor,Johor Bahru,1/1/2022,male,15-19,72.2
Johor,Johor Bahru,1/1/2022,male,15-19,35.5
Johor,Johor Bahru,1/1/2022,male,15-19,1.5
Johor,Johor Bahru,1/1/2022,male,15-19,24.2
Johor,Johor Bahru,1/1/2022,male,15-19,6.1
Johor,Johor Bahru,1/1/2022,male,15-19,1
Johor,Johor Bahru,1/1/2022,male,15-19,4
Johor,Johor Bahru,1/1/2022,male,20-24,89.2
Johor,Johor Bahru,1/1/2022,male,20-24,36.6
Johor,Johor Bahru,1/1/2022,male,20-24,1.2
Johor,Johor Bahru,1/1/2022,male,20-24,26.6
Johor,Johor Bahru,1/1/2022,male,20-24,6.3
Johor,Johor Bahru,1/1/2022,male,20-24,1.1
Johor,Johor Bahru,1/1/2022,male,20-24,17.3
Johor,Johor Bahru,1/1/2022,male,25-29,83.5
Johor,Johor Bahru,1/1/2022,male,25-29,32.7
Johor,Johor Bahru,1/1/2022,male,25-29,0.5
Johor,Johor Bahru,1/1/2022,male,25-29,25.2
Johor,Johor Bahru,1/1/2022,male,25-29,5.7
Johor,Johor Bahru,1/1/2022,male,25-29,0.1
Johor,Johor Bahru,1/1/2022,male,25-29,19.3
Johor,Johor Bahru,1/1/2022,male,30-34,74.8
Johor,Johor Bahru,1/1/2022,male,30-34,31.9
Johor,Johor Bahru,1/1/2022,male,30-34,1.1
Johor,Johor Bahru,1/1/2022,male,30-34,23.3
Johor,Johor Bahru,1/1/2022,male,30-34,5.4
Johor,Johor Bahru,1/1/2022,male,30-34,0.3
Johor,Johor Bahru,1/1/2022,male,30-34,12.7
Johor,Johor Bahru,1/1/2022,male,35-39,71.1
Johor,Johor Bahru,1/1/2022,male,35-39,31
Johor,Johor Bahru,1/1/2022,male,35-39,1.9
Johor,Johor Bahru,1/1/2022,male,35-39,23.3
Johor,Johor Bahru,1/1/2022,male,35-39,5.7
Johor,Johor Bahru,1/1/2022,male,35-39,0.2
Johor,Johor Bahru,1/1/2022,male,35-39,8.9
Johor,Johor Bahru,1/1/2022,male,40-44,61.8
Johor,Johor Bahru,1/1/2022,male,40-44,26
Johor,Johor Bahru,1/1/2022,male,40-44,1.5
Johor,Johor Bahru,1/1/2022,male,40-44,22.3
Johor,Johor Bahru,1/1/2022,male,40-44,6
Johor,Johor Bahru,1/1/2022,male,40-44,0.3
Johor,Johor Bahru,1/1/2022,male,40-44,5.7
Johor,Johor Bahru,1/1/2022,male,45-49,53
Johor,Johor Bahru,1/1/2022,male,45-49,21
Johor,Johor Bahru,1/1/2022,male,45-49,1.5
