state,district,date,sex,age,ethnicity,population
Johor,Pontian,1/1/2022,female,35-39,overall,6.4
Johor,Pontian,1/1/2022,female,40-44,overall,5.5
Johor,Pontian,1/1/2022,female,45-49,overall,4.7
Johor,Pontian,1/1/2022,female,50-54,overall,4.5
Johor,Pontian,1/1/2022,female,55-59,overall,4
Johor,Pontian,1/1/2022,female,60-64,overall,3.5
Johor,Pontian,1/1/2022,female,65-69,overall,2.5
Johor,Pontian,1/1/2022,female,70-74,overall,1.5
Johor,Pontian,1/1/2022,female,75-79,overall,0.9
Johor,Pontian,1/1/2022,female,80-84,overall,0.5
Johor,Pontian,1/1/2022,female,85+,overall,0.2
Johor,Pontian,1/1/2022,male,0-4,overall,5.8
Johor,Pontian,1/1/2022,male,5-9,overall,6.8
Johor,Pontian,1/1/2022,male,10-14,overall,7.5
Johor,Pontian,1/1/2022,male,15-19,overall,7.7
Johor,Pontian,1/1/2022,male,20-24,overall,9.8
Johor,Pontian,1/1/2022,male,25-29,overall,9.3
Johor,Pontian,1/1/2022,male,30-34,overall,8.2
Johor,Pontian,1/1/2022,male,35-39,overall,7.6
Johor,Pontian,1/1/2022,male,40-44,overall,6.4
Johor,Pontian,1/1/2022,male,45-49,overall,5.4
Johor,Pontian,1/1/2022,male,50-54,overall,4.7
Johor,Pontian,1/1/2022,male,55-59,overall,4.3
Johor,Pontian,1/1/2022,male,60-64,overall,3.6
Johor,Pontian,1/1/2022,male,65-69,overall,2.4
Johor,Pontian,1/1/2022,male,70-74,overall,1.5
Johor,Pontian,1/1/2022,male,75-79,overall,0.8
Johor,Pontian,1/1/2022,male,80-84,overall,0.5
Johor,Pontian,1/1/2022,male,85+,overall,0.3
Johor,Segamat,1/1/2022,female,0-4,overall,6
Johor,Segamat,1/1/2022,female,5-9,overall,6
Johor,Segamat,1/1/2022,female,10-14,overall,7.3
Johor,Segamat,1/1/2022,female,15-19,overall,8.2
Johor,Segamat,1/1/2022,female,20-24,overall,9
Johor,Segamat,1/1/2022,female,25-29,overall,8.2
Johor,Segamat,1/1/2022,female,30-34,overall,7.9
Johor,Segamat,1/1/2022,female,35-39,overall,7.8
Johor,Segamat,1/1/2022,female,40-44,overall,6.9
Johor,Segamat,1/1/2022,female,45-49,overall,6
Johor,Segamat,1/1/2022,female,50-54,overall,5.8
Johor,Segamat,1/1/2022,female,55-59,overall,5
Johor,Segamat,1/1/2022,female,60-64,overall,4.4
Johor,Segamat,1/1/2022,female,65-69,overall,3.1
Johor,Segamat,1/1/2022,female,70-74,overall,1.8
Johor,Segamat,1/1/2022,female,75-79,overall,1.1
Johor,Segamat,1/1/2022,female,80-84,overall,0.6
Johor,Segamat,1/1/2022,female,85+,overall,0.3
Johor,Segamat,1/1/2022,male,0-4,overall,6.1
Johor,Segamat,1/1/2022,male,5-9,overall,5.9
Johor,Segamat,1/1/2022,male,10-14,overall,7.6
Johor,Segamat,1/1/2022,male,15-19,overall,8.8
Johor,Segamat,1/1/2022,male,20-24,overall,10.9
Johor,Segamat,1/1/2022,male,25-29,overall,10.2
Johor,Segamat,1/1/2022,male,30-34,overall,9.2
Johor,Segamat,1/1/2022,male,35-39,overall,8.7
Johor,Segamat,1/1/2022,male,40-44,overall,7.6
Johor,Segamat,1/1/2022,male,45-49,overall,6.4
Johor,Segamat,1/1/2022,male,50-54,overall,5.6
Johor,Segamat,1/1/2022,male,55-59,overall,5.2
Johor,Segamat,1/1/2022,male,60-64,overall,4.3
Johor,Segamat,1/1/2022,male,65-69,overall,2.8
Johor,Segamat,1/1/2022,male,70-74,overall,1.7
Johor,Segamat,1/1/2022,male,75-79,overall,1
Johor,Segamat,1/1/2022,male,80-84,overall,0.5
Johor,Segamat,1/1/2022,male,85+,overall,0.4
Johor,Tangkak,1/1/2022,female,0-4,overall,4.6
Johor,Tangkak,1/1/2022,female,5-9,overall,5.5
Johor,Tangkak,1/1/2022,female,10-14,overall,6.7
Johor,Tangkak,1/1/2022,female,15-19,overall,7
Johor,Tangkak,1/1/2022,female,20-24,overall,7.4
Johor,Tangkak,1/1/2022,female,25-29,overall,6.7
Johor,Tangkak,1/1/2022,female,30-34,overall,6.5
Johor,Tangkak,1/1/2022,female,35-39,overall,6.3
Johor,Tangkak,1/1/2022,female,40-44,overall,5.6
Johor,Tangkak,1/1/2022,female,45-49,overall,4.7
Johor,Tangkak,1/1/2022,female,50-54,overall,4.6
Johor,Tangkak,1/1/2022,female,55-59,overall,4.1
